path,sha256,bytes
outputs/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
outputs/alpha_50_50/resolved_config.yaml,44fd488cf72d066da0be7a19b7bb0d2dc6e2cd99d5358a054053b7b53b4e33cb,1171
outputs/alpha_50_50/run_manifest.json,4ff84115a01028d7feb833bf02f8175cc5c36cdcbed2db88e22439ba78b50364,674
outputs/alpha_50_50/static_dec2024_labels.csv,4813bff123188fa870bda53f5bf70037cc795de5cc309d7ee8bdcf8bde6df933,143124
outputs/alpha_50_50/supra_labels.csv,3fc1c38d13d755fbfb2f57c841962e05106335ce6d1b690836da5c874a12ff92,230969
outputs/alpha_90_10/resolved_config.yaml,5ddadc8ba14604b26f68dffc53ee0e84e19f04a595f6cdbb0ccd1a6aaeb1e736,1171
outputs/alpha_90_10/run_manifest.json,25100ac4bb94842cb42c9bc96813afbac5185283534d5ce287aa23523780d3d5,562
outputs/alpha_90_10/static_dec2024_labels.csv,76db897104bd48e0326bdffcbda30a4945bc5e97a500e08021f10d495ba242fd,143460
outputs/alpha_90_10/supra_labels.csv,6e1850308ffb49a9e8ca4800ebee806f525f0ea34da76fa3470033cd3df61231,241179
outputs/alpha_sensitivity/alpha_sensitivity_archetype_pair_coassignment.csv,606aebab52d3f493f160c955c80d8d9f4e4731be06531ce955b4002fba24e857,1248
outputs/alpha_sensitivity/alpha_sensitivity_archetype_retention.csv,934598a4d23741309b0d1be0d8f3f4bbdd78ae95625d22dd784d7f0ad8d659ef,2372
outputs/alpha_sensitivity/ALPHA_SENSITIVITY_AUDIT.md,295d180da87c48e05d3d4bf48f8e93ddbb5f9f7c9e9b7333e367b7008769f3f7,1935
outputs/alpha_sensitivity/alpha_sensitivity_endpoint_similarity.csv,e14d6d6b504a8af9012eb8a35535809206d8b2425d5c5d2ad69980dfbb8e0f12,146
outputs/alpha_sensitivity/ALPHA_SENSITIVITY_FINDINGS.md,c02ae21bc65c30abe7ebfb86b53a3a5e809993e59116b0ec1c93f042a13b481e,9091
outputs/alpha_sensitivity/alpha_sensitivity_master_summary.csv,f36270c77c3700053b5a40dc6aabaa7d5342b7eaa118185cb4b70b0a2ecb229e,2164
outputs/alpha_sensitivity/alpha_sensitivity_monthly_similarity.csv,2c4dd87f35d532c900e112fff8d253fb59a291db845cbdb94b83d30930743f97,3125
outputs/alpha_sensitivity/alpha_sensitivity_static_metrics.csv,675d7b493fbae129503158322a94470bcbc75b83cd187a7ff19a884995e0b29c,848
outputs/alpha_sensitivity/alpha_sensitivity_static_topology.csv,9d99aa5d34d22ddc7ec0e2c51f2577f71309ed807a0164ffbe57c0f4bab775f5,399
outputs/alpha_sensitivity/alpha_sensitivity_temporal_icvi_summary.csv,35e7a16f4b9cc2617623af28b2b2319a767bb7f3b89207ab081e27958c36f9b2,600
outputs/alpha_sensitivity/alpha_sensitivity_temporal_summary.csv,1982965db397ae13a277290aa89993e065f805195deb2bcbf88a56a07f3be2fb,855
outputs/alpha_sensitivity/archetype_status_round13_alpha.csv,e106e90ea1d7e27859dae495e1c3a3c56079370070a8d6c089a11d3a61ed0177,1509
outputs/baseline/resolved_config.yaml,f6b3960c997c4e7f050f4779f2df59c59ab6fd659319c3ea92195da3507ae228,1168
outputs/baseline/run_manifest.json,d693781287e4118b90031983e7f2f45249abd6e0ab2c01994cff68565d6eafd5,670
outputs/baseline/static_dec2024_labels.csv,879f91094746e6e47d1346b5e2169369ebf6f28e1c437d7f8ddb597ba6b4fb09,143124
outputs/baseline/supra_labels.csv,7cac1146f94c61cd1d6cdcfb6600796c1d95e05d94edd570c53a38251243192a,243035
outputs/evidence_v2_2_0/CLAIM_CHANGES_v2.2.0.csv,3190a0b5dd7f80ad9001697d6ea3b5633636932cfa6264f0a5f10215abe15d20,714
outputs/evidence_v2_2_0/environment_versions.json,2e235d6862a63e2f030f424676fd21fcb1bb8c19cf4d7e76cc031c7e623df1d7,333
outputs/evidence_v2_2_0/FINAL_EVIDENCE_SHA256.csv,e1e4624a664b054279e3362378f5b7bf2e4b6449a854b350deac50a0c97700c8,31253
outputs/evidence_v2_2_0/manifest.json,af2f03729b199f6cbf732571236c2e8e180a8a9a3d7212e1740581fba753435a,3268
outputs/evidence_v2_2_0/MASTER_PROFILE_EVIDENCE_MATRIX_v2.1.0.csv,42bd3e9dbfe3fbdc4ac558087a6e23d6eaf49f16ab6a7fd563f5f95dda81aaad,2480
outputs/evidence_v2_2_0/MASTER_PROFILE_EVIDENCE_MATRIX_v2.2.0.csv,36665331ed293236df60b1cb3c9f994ae70714ff9a424bd8e61580a388d97166,4350
outputs/evidence_v2_2_0/README.md,812a11fe9dcf2a7255d6c67b62f98c08e3b6e0e2fb926263f94cd90481f3262c,2598
outputs/evidence_v2_2_0/requirements-used.txt,321296ada1afd23c469f30d92c4ec26829cf81d981f4a350d13bf15dfb945659,232
outputs/leiden_robustness/archetype_status_round14_leiden.csv,58adede20a7c1bb85bdd0e06d05697198306a3dd58b2f665f66dce341bc7c941,2194
outputs/leiden_robustness/COMPLETED.json,a91e803f26c6385d8d625fdc1acd0af8b3b84d266929118af592f1e0e1e85d6f,99
outputs/leiden_robustness/graph_identity.json,ba0774bfcb19bf5c254882a4b32c3edea29b5774965fa97616e7710339e0317e,1164
outputs/leiden_robustness/leiden_archetype_retention.csv,6fef4b3881d3e38738ffba2b283f41a6b079b93dfac5f09c6a2a48b7234c1fae,738
outputs/leiden_robustness/LEIDEN_FINDINGS.md,93d9dafcb1aae7e195339b1dec9eec5da657dd5937774c75e356445f44b226af,2464
outputs/leiden_robustness/leiden_mean_monthly_metrics.csv,e6080e81e0227aff9aa604c6d562aec6772153a1aa1f8a8dfe207f28789e040b,239
outputs/leiden_robustness/leiden_monthly_metrics.csv,60f854df53323c3c6b3fedc224873088fe69f89bce8e6e75a4cc9a2cea2969ce,8416
outputs/leiden_robustness/leiden_monthly_similarity.csv,d83ca9142790f935afd69a1bf633d9bdc53a8e9d1036e71fc5162791c06d6fbe,2625
outputs/leiden_robustness/leiden_monthly_similarity_summary.csv,fd87f280ae5334883564dda31ac98924a9870a66fd687c477c8518567bedc8b7,1177
outputs/leiden_robustness/leiden_pair_coassignment.csv,72f3652988f7ca7090af0337b7ab00f298e70b49f6c88bc7df2b73593b2b2b62,426
