panel_index,municipality,reference_profile,consensus_class,anchor_consensus_class,anchor_second_class,anchor_top_affinity_share,anchor_second_affinity_share,anchor_affinity_margin,anchor_affinity_entropy,anchor_consensus_matches_reference,anchor_raw_affinity_A,anchor_affinity_share_A,anchor_raw_affinity_B,anchor_affinity_share_B,anchor_raw_affinity_C,anchor_affinity_share_C,anchor_raw_affinity_D,anchor_affinity_share_D,anchor_raw_affinity_E,anchor_affinity_share_E,anchor_raw_affinity_F,anchor_affinity_share_F,anchor_raw_affinity_G,anchor_affinity_share_G,anchor_class_matches_full,anchor_vs_all_L1_affinity_share
0,Абазинский муниципальный район,C,C,C,F,0.9121245844440906,0.019466073251670688,0.8926585111924199,0.231802261132395,True,0.019999999552965164,0.018242491281130348,0.009999999776482582,0.009121245640565174,1.0,0.9121245844440906,0.019999999552965164,0.018242491281130348,0.009999999776482582,0.009121245640565174,0.02134146319883989,0.019466073251670688,0.014999999664723873,0.01368186846084776,True,0.07461687106858228
1,Абанский муниципальный район,G,G,G,F,0.812380248532921,0.14267870310068595,0.669701545432235,0.3379852472479591,True,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.014999999664723873,0.01225664955447082,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.17461382812343357,0.14267870310068595,0.9942116237774924,0.812380248532921,True,0.3697787381235158
2,Абатский муниципальный район,G,G,G,F,0.812380248532921,0.14267870310068595,0.669701545432235,0.3379852472479591,True,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.014999999664723873,0.01225664955447082,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.17461382812343357,0.14267870310068595,0.9942116237774924,0.812380248532921,True,0.3697787381235158
3,Абзелиловский муниципальный район,G,G,G,C,0.39238135545428987,0.23160746667754856,0.1607738887767413,0.7523722578569659,True,0.05000000074505806,0.0416061319426667,0.004999999888241291,0.004160613039271752,0.2783333361148834,0.23160746667754856,0.14499999582767487,0.12065777736390623,0.004999999888241291,0.004160613039271752,0.2468699155057349,0.20542604248304513,0.471542706543749,0.39238135545428987,True,0.17528889236201184
4,Агинский муниципальный район,A,A,A,D,0.8508096235194559,0.0515642179579677,0.7992454055614882,0.3332852025921182,True,0.9900000095367432,0.8508096235194559,0.009999999776482582,0.00859403632632795,0.019999999552965164,0.0171880726526559,0.05999999865889549,0.0515642179579677,0.009999999776482582,0.00859403632632795,0.05859756194872827,0.05035895872777276,0.014999999664723873,0.012891054489491925,True,0.09840395113127332
5,Агрызский муниципальный район,G,G,G,F,0.6231791526912741,0.23549556447477593,0.3876835882164982,0.5330413079167787,True,0.009999999776482582,0.00763920432368241,0.009999999776482582,0.00763920432368241,0.014999999664723873,0.011458806485523615,0.14000000059604645,0.10694886337737917,0.009999999776482582,0.00763920432368241,0.30827236611668657,0.23549556447477593,0.815764459696683,0.6231791526912741,True,0.262631043765825
6,Адамовский муниципальный район,G,G,G,F,0.812380248532921,0.14267870310068595,0.669701545432235,0.3379852472479591,True,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.014999999664723873,0.01225664955447082,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.17461382812343357,0.14267870310068595,0.9942116237774924,0.812380248532921,True,0.3697787381235158
7,Азнакаевский муниципальный район,G,G,G,F,0.6054790105863669,0.2833410326972602,0.3221379778891067,0.5368250759295256,True,0.019999999552965164,0.01588285095948187,0.009999999776482582,0.007941425479740935,0.019999999552965164,0.01588285095948187,0.07999999821186066,0.06353140383792748,0.009999999776482582,0.007941425479740935,0.3567886232602887,0.2833410326972602,0.7624311259955414,0.6054790105863669,True,0.27164826528164576
8,Азовский немецкий национальный муниципальный район,G,G,G,F,0.8080559488639859,0.14695872495041973,0.6610972239135662,0.34187453003536705,True,0.009999999776482582,0.008179150215562609,0.009999999776482582,0.008179150215562609,0.014999999664723873,0.012268725323343914,0.009999999776482582,0.008179150215562609,0.009999999776482582,0.008179150215562609,0.1796748045854634,0.14695872495041973,0.9879460695868211,0.8080559488639859,True,0.368948695274384
9,Акбулакский муниципальный район,G,G,G,F,0.8070607089700043,0.14736546984380158,0.6596952391262026,0.3435838517424133,True,0.009999999776482582,0.008286149306580745,0.009999999776482582,0.008286149306580745,0.014999999664723873,0.012429223959871116,0.009999999776482582,0.008286149306580745,0.009999999776482582,0.008286149306580745,0.17784553608380077,0.14736546984380158,0.9739876281131398,0.8070607089700043,True,0.37447857511366833
10,Аксубаевский муниципальный район,G,G,G,F,0.8110901213227203,0.14394637211501432,0.6671437492077059,0.3391667581760243,True,0.009999999776482582,0.00817518301132098,0.009999999776482582,0.00817518301132098,0.014999999664723873,0.012262774516981469,0.009999999776482582,0.00817518301132098,0.009999999776482582,0.00817518301132098,0.17607724340632558,0.14394637211501432,0.9921369369593893,0.8110901213227203,True,0.3688785116452593
11,Актанышский муниципальный район,G,G,G,F,0.7871026578821847,0.1627012822417164,0.6244013756404683,0.36695810139736573,True,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.014999999664723873,0.013689834511663354,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.17827236530848029,0.1627012822417164,0.862431141463193,0.7871026578821847,True,0.3901875380222085
12,Алагирский муниципальный район,C,C,C,F,0.9121245844440906,0.019466073251670688,0.8926585111924199,0.231802261132395,True,0.019999999552965164,0.018242491281130348,0.009999999776482582,0.009121245640565174,1.0,0.9121245844440906,0.019999999552965164,0.018242491281130348,0.009999999776482582,0.009121245640565174,0.02134146319883989,0.019466073251670688,0.014999999664723873,0.01368186846084776,True,0.07461687106858228
13,Аларский муниципальный район,F,G,G,F,0.7789672188547011,0.17213157789858466,0.6068356409561164,0.3714082417336761,False,0.009999999776482582,0.008150200541119045,0.009999999776482582,0.008150200541119045,0.014999999664723873,0.012225300811678568,0.014999999664723873,0.012225300811678568,0.009999999776482582,0.008150200541119045,0.21119918851409017,0.17213157789858466,0.9557644594306788,0.7789672188547011,True,0.3477407512167341
14,Алданский муниципальный район,A,A,A,D,0.8658465781680319,0.04762156154119937,0.8182250166268326,0.3078879881133536,True,1.0,0.8658465781680319,0.009999999776482582,0.008658465588148527,0.019999999552965164,0.017316931176297054,0.054999999701976776,0.04762156154119937,0.009999999776482582,0.008658465588148527,0.049939023194516576,0.04323953235002616,0.009999999776482582,0.008658465588148527,True,0.10167429790336988
15,Александро-Невский муниципальный район,G,G,G,F,0.8109836213060687,0.14405125382344375,0.666932367482625,0.33926365352458426,True,0.009999999776482582,0.008175477249179545,0.009999999776482582,0.008175477249179545,0.014999999664723873,0.012263215873769317,0.009999999776482582,0.008175477249179545,0.009999999776482582,0.008175477249179545,0.17619919450953603,0.14405125382344375,0.9919709620139411,0.8109836213060687,True,0.37014775048961923
16,Александрово-Гайский муниципальный район,G,G,G,F,0.812380248532921,0.14267870310068595,0.669701545432235,0.3379852472479591,True,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.014999999664723873,0.01225664955447082,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.17461382812343357,0.14267870310068595,0.9942116237774924,0.812380248532921,True,0.3697787381235158
17,Александровский муниципальный округ,G,G,G,F,0.8098114306885191,0.14525272343900997,0.6645587072495092,0.3402601123473826,True,0.009999999776482582,0.00817015379499472,0.009999999776482582,0.00817015379499472,0.014999999664723873,0.01225523069249208,0.009999999776482582,0.00817015379499472,0.009999999776482582,0.00817015379499472,0.17778456053219555,0.14525272343900997,0.9911825810230619,0.8098114306885191,True,0.3694006132304464
18,Аликовский муниципальный округ,G,G,G,F,0.7871026578821847,0.1627012822417164,0.6244013756404683,0.36695810139736573,True,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.014999999664723873,0.013689834511663354,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.17827236530848029,0.1627012822417164,0.862431141463193,0.7871026578821847,True,0.3901875380222085
19,Алькеевский муниципальный район,G,G,G,F,0.7913789578062407,0.1590313977631487,0.632347560043092,0.3626011794941268,True,0.009999999776482582,0.009016298987383764,0.009999999776482582,0.009016298987383764,0.014999999664723873,0.013524448481075646,0.009999999776482582,0.009016298987383764,0.009999999776482582,0.009016298987383764,0.17638212134607317,0.1590313977631487,0.8777203830805692,0.7913789578062407,True,0.3892006481585719
20,Альменевский муниципальный округ,G,G,G,F,0.812380248532921,0.14267870310068595,0.669701545432235,0.3379852472479591,True,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.014999999664723873,0.01225664955447082,0.009999999776482582,0.008171099702980546,0.009999999776482582,0.008171099702980546,0.17461382812343357,0.14267870310068595,0.9942116237774924,0.812380248532921,True,0.3697787381235158
21,Альметьевский муниципальный район,D,D,D,F,0.5870306434565674,0.34795883619042384,0.23907180726614358,0.48649148943050446,True,0.054999999701976776,0.032286685215162446,0.009999999776482582,0.0058703063033541,0.019999999552965164,0.0117406126067082,1.0,0.5870306434565674,0.01574468049914279,0.009242609924429861,0.59274390539745,0.34795883619042384,0.009999999776482582,0.0058703063033541,True,0.14542756339543822
22,Альшеевский муниципальный район,G,G,G,F,0.7871026578821847,0.1627012822417164,0.6244013756404683,0.36695810139736573,True,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.014999999664723873,0.013689834511663354,0.009999999776482582,0.009126556341108902,0.009999999776482582,0.009126556341108902,0.17827236530848029,0.1627012822417164,0.862431141463193,0.7871026578821847,True,0.3901875380222085
23,Амгинский муниципальный район,A,A,A,D,0.8658465781680319,0.04762156154119937,0.8182250166268326,0.3078879881133536,True,1.0,0.8658465781680319,0.009999999776482582,0.008658465588148527,0.019999999552965164,0.017316931176297054,0.054999999701976776,0.04762156154119937,0.009999999776482582,0.008658465588148527,0.049939023194516576,0.04323953235002616,0.009999999776482582,0.008658465588148527,True,0.10167429790336988
24,Амурский муниципальный район,A,A,A,F,0.8491825721031069,0.055984859889915535,0.7931977122131914,0.33216746199086483,True,0.9850000143051147,0.8491825721031069,0.009999999776482582,0.008621142546088872,0.019999999552965164,0.017242285092177744,0.05999999865889549,0.051726855276533236,0.009999999776482582,0.008621142546088872,0.0649390244265882,0.055984859889915535,0.009999999776482582,0.008621142546088872,True,0.1017814751142518
